,0
0,1
1,0
2,2
3,1
4,2
5,3
6,1
7,3
8,1
9,1
10,0
11,0
12,2
13,2
14,2
15,3
16,3
17,2
18,1
19,1
20,1
21,2
22,0
23,3
24,2
25,2
26,2
27,0
28,0
29,2
30,1
31,1
32,3
33,3
34,0
35,1
36,2
37,3
38,3
39,1
40,2
41,2
42,3
43,2
44,0
45,1
46,3
47,1
48,3
49,1
50,1
51,0
52,1
53,2
54,3
55,2
56,0
57,0
58,2
59,3
60,1
61,0
62,0
63,1
64,1
65,1
66,3
67,2
68,3
69,2
70,0
71,2
72,1
73,2
74,1
75,0
76,2
77,2
78,3
79,2
80,2
81,2
82,0
83,1
84,1
85,2
86,3
87,3
88,3
89,0
90,1
91,1
92,3
93,0
94,0
95,2
96,1
97,2
98,1
99,3
100,1
101,3
102,2
103,1
104,0
105,3
106,1
107,2
108,0
109,2
110,3
111,2
112,3
113,0
114,1
115,0
116,1
117,2
118,2
119,1
120,1
121,0
122,0
123,3
124,2
125,1
126,0
127,2
128,2
129,1
130,2
131,3
132,0
133,1
134,0
135,3
136,2
137,3
138,1
139,0
140,2
141,3
142,2
143,1
144,0
145,0
146,2
147,0
148,3
149,2
150,1
151,1
152,0
153,3
154,1
155,3
156,1
157,0
158,3
159,2
160,3
161,2
162,0
163,0
164,0
165,1
166,2
167,3
168,0
169,2
170,3
171,2
172,1
173,3
174,1
175,0
176,0
177,1
178,3
179,2
180,1
181,0
182,2
183,0
184,2
185,3
186,2
187,1
188,0
189,3
190,0
191,3
192,2
193,1
194,3
195,1
196,3
197,0
198,2
199,1
200,2
201,2
202,3
203,3
204,0
205,1
206,1
207,1
208,3
209,3
210,0
211,0
212,2
213,1
214,0
215,0
216,2
217,2
218,3
219,0
220,0
221,2
222,3
223,1
224,3
225,1
226,0
227,3
228,1
229,2
230,0
231,1
232,0
233,1
234,3
235,3
236,2
237,3
238,2
239,0
240,2
241,0
242,2
243,1
244,3
245,1
246,3
247,2
248,1
249,3
250,3
251,0
252,0
253,3
254,1
255,0
256,1
257,2
258,3
259,0
260,0
261,3
262,3
263,2
264,3
265,0
266,0
267,1
268,1
269,2
270,3
271,2
272,3
273,0
274,3
275,0
276,3
277,1
278,3
279,1
280,0
281,0
282,0
283,2
284,3
285,2
286,3
287,1
288,0
289,0
290,1
291,3
292,2
293,0
294,2
295,3
296,3
297,1
298,0
299,2
300,2
301,0
302,0
303,0
304,3
305,3
306,1
307,2
308,0
309,1
310,3
311,1
312,1
